"leaf.type"	"time"	"plot"	"site"	"lfmc"
"1"	"M. spinosum"	1	1	"E"	238.4
"2"	"M. spinosum"	1	1	"E"	269.8
"3"	"M. spinosum"	1	1	"E"	325.2
"4"	"S. bracteolactus"	1	1	"E"	326.7
"5"	"S. bracteolactus"	1	1	"E"	257.3
"6"	"S. bracteolactus"	1	1	"E"	279.3
"7"	"Grass E"	1	1	"E"	91.9
"8"	"Grass E"	1	1	"E"	95
"9"	"M. spinosum"	1	2	"E"	251.7
"10"	"M. spinosum"	1	2	"E"	238.7
"11"	"M. spinosum"	1	2	"E"	252.6
"12"	"S. bracteolactus"	1	2	"E"	257.6
"13"	"S. bracteolactus"	1	2	"E"	265.7
"14"	"S. bracteolactus"	1	2	"E"	273.9
"15"	"Grass E"	1	2	"E"	60.6
"16"	"Grass E"	1	2	"E"	53.7
"17"	"M. spinosum"	1	3	"E"	224.3
"18"	"M. spinosum"	1	3	"E"	207.3
"19"	"S. bracteolactus"	1	3	"E"	240.3
"20"	"S. bracteolactus"	1	3	"E"	215.8
"21"	"Grass E"	1	3	"E"	75.3
"22"	"Grass E"	1	3	"E"	65.7
"23"	"Grass W"	1	4	"W"	43.3
"24"	"Grass W"	1	4	"W"	50
"25"	"Grass W"	1	4	"W"	36.2
"26"	"Grass W"	1	5	"W"	45.5
"27"	"Grass W"	1	5	"W"	46.3
"28"	"Grass W"	1	5	"W"	35.9
"29"	"Grass W"	1	6	"W"	47
"30"	"Grass W"	1	6	"W"	50.2
"31"	"Grass W"	1	6	"W"	68.9
"32"	"M. spinosum"	13	1	"E"	215.8
"33"	"M. spinosum"	13	1	"E"	216.7
"34"	"M. spinosum"	13	1	"E"	205.3
"35"	"S. bracteolactus"	13	1	"E"	208.5
"36"	"S. bracteolactus"	13	1	"E"	225.7
"37"	"S. bracteolactus"	13	1	"E"	246.8
"38"	"Grass E"	13	1	"E"	81.3
"39"	"Grass E"	13	1	"E"	82.4
"40"	"Grass E"	13	1	"E"	78.1
"41"	"M. spinosum"	13	2	"E"	228
"42"	"M. spinosum"	13	2	"E"	231.4
"43"	"M. spinosum"	13	2	"E"	226.6
"44"	"S. bracteolactus"	13	2	"E"	222.7
"45"	"S. bracteolactus"	13	2	"E"	243.9
"46"	"S. bracteolactus"	13	2	"E"	218.6
"47"	"Grass E"	13	2	"E"	50.5
"48"	"Grass E"	13	2	"E"	64.3
"49"	"Grass E"	13	2	"E"	64.3
"50"	"M. spinosum"	13	3	"E"	240.8
"51"	"M. spinosum"	13	3	"E"	178.4
"52"	"M. spinosum"	13	3	"E"	231.2
"53"	"S. bracteolactus"	13	3	"E"	218.6
"54"	"S. bracteolactus"	13	3	"E"	244.1
"55"	"S. bracteolactus"	13	3	"E"	204.4
"56"	"Grass E"	13	3	"E"	69.3
"57"	"Grass E"	13	3	"E"	77.2
"58"	"Grass E"	13	3	"E"	62.5
"59"	"Grass W"	13	4	"W"	43.8
"60"	"Grass W"	13	4	"W"	43.6
"61"	"Grass W"	13	4	"W"	52.6
"62"	"Grass W"	13	5	"W"	51.4
"63"	"Grass W"	13	5	"W"	42.8
"64"	"Grass W"	13	5	"W"	61.4
"65"	"Grass W"	13	6	"W"	50.9
"66"	"Grass W"	13	6	"W"	42
"67"	"Grass W"	13	6	"W"	52.8
"68"	"M. spinosum"	26	1	"E"	194.4
"69"	"M. spinosum"	26	1	"E"	166
"70"	"M. spinosum"	26	1	"E"	212
"71"	"S. bracteolactus"	26	1	"E"	232.2
"72"	"S. bracteolactus"	26	1	"E"	190.1
"73"	"S. bracteolactus"	26	1	"E"	241.6
"74"	"Grass E"	26	1	"E"	53.9
"75"	"Grass E"	26	1	"E"	71.9
"76"	"Grass E"	26	1	"E"	63.1
"77"	"M. spinosum"	26	2	"E"	185.8
"78"	"M. spinosum"	26	2	"E"	169.7
"79"	"M. spinosum"	26	2	"E"	154.8
"80"	"S. bracteolactus"	26	2	"E"	207.2
"81"	"S. bracteolactus"	26	2	"E"	200
"82"	"S. bracteolactus"	26	2	"E"	204.9
"83"	"Grass E"	26	2	"E"	50.5
"84"	"Grass E"	26	2	"E"	43.2
"85"	"Grass E"	26	2	"E"	52.7
"86"	"M. spinosum"	26	3	"E"	154.7
"87"	"M. spinosum"	26	3	"E"	221
"88"	"M. spinosum"	26	3	"E"	231.7
"89"	"S. bracteolactus"	26	3	"E"	171.4
"90"	"S. bracteolactus"	26	3	"E"	209.4
"91"	"S. bracteolactus"	26	3	"E"	180.5
"92"	"Grass E"	26	3	"E"	54.7
"93"	"Grass E"	26	3	"E"	45.9
"94"	"Grass E"	26	3	"E"	41.1
"95"	"Grass W"	26	4	"W"	48
"96"	"Grass W"	26	4	"W"	43.8
"97"	"Grass W"	26	4	"W"	55.5
"98"	"Grass W"	26	5	"W"	47.9
"99"	"Grass W"	26	5	"W"	41.6
"100"	"Grass W"	26	5	"W"	47.8
"101"	"Grass W"	26	6	"W"	50.8
"102"	"Grass W"	26	6	"W"	46.2
"103"	"Grass W"	26	6	"W"	54.3
"104"	"M. spinosum"	36	1	"E"	178
"105"	"M. spinosum"	36	1	"E"	165.9
"106"	"M. spinosum"	36	1	"E"	144
"107"	"S. bracteolactus"	36	1	"E"	144.1
"108"	"S. bracteolactus"	36	1	"E"	142.7
"109"	"S. bracteolactus"	36	1	"E"	170
"110"	"Grass E"	36	1	"E"	45.7
"111"	"Grass E"	36	1	"E"	37.3
"112"	"Grass E"	36	1	"E"	33.3
